timestamp,session_id,event_type,event_data
1776645485,3fccb79e-1852-4912-b016-d57dc7f00786,Level_Start,"{""level_id"":1}"
1776645485,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":-0.6999817,""pos_y"":-0.2000046}"
1776645487,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":-5.786724,""pos_y"":0.5762405}"
1776645489,3fccb79e-1852-4912-b016-d57dc7f00786,Chest_Opened,"{""chest_id"":""featheritem"",""level_id"":1}"
1776645495,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645499,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":21.30247,""pos_y"":2.572968}"
1776645507,3fccb79e-1852-4912-b016-d57dc7f00786,Chest_Opened,"{""chest_id"":""featheritem"",""level_id"":1}"
1776645512,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645524,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645526,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":false}"
1776645526,3fccb79e-1852-4912-b016-d57dc7f00786,Chest_Opened,"{""chest_id"":""sword"",""level_id"":1}"
1776645529,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":false}"
1776645532,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":true}"
1776645533,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":true}"
1776645533,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":true}"
1776645537,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":57.31514,""pos_y"":15.65611}"
1776645539,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":57.31514,""pos_y"":15.65611,""cause_of_death"":""void""}"
1776645544,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":false}"
1776645549,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645551,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":true}"
1776645551,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":true}"
1776645552,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":true}"
1776645552,3fccb79e-1852-4912-b016-d57dc7f00786,Chest_Opened,"{""chest_id"":""featheritem"",""level_id"":1}"
1776645558,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645558,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":93.42303,""pos_y"":45.87945}"
1776645561,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":93.42303,""pos_y"":45.87945,""cause_of_death"":""void""}"
1776645565,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Attack,"{""attack_type"":""ground"",""enemy_hit"":false}"
1776645567,3fccb79e-1852-4912-b016-d57dc7f00786,Feather_Recall_Attempt,"{""is_successful"":true}"
1776645568,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":120.4098,""pos_y"":24.71498}"
1776645580,3fccb79e-1852-4912-b016-d57dc7f00786,Level_End,"{""level_id"":1,""result"":""completed""}"
1776645582,3fccb79e-1852-4912-b016-d57dc7f00786,Level_Start,"{""level_id"":2}"
1776645582,3fccb79e-1852-4912-b016-d57dc7f00786,Checkpoint_Reached,"{""pos_x"":223.36,""pos_y"":92.063}"
1776645587,3fccb79e-1852-4912-b016-d57dc7f00786,Player_Death,"{""pos_x"":223.36,""pos_y"":92.063,""cause_of_death"":""void""}"
